iter	Passed	Remaining
0	2	363
1	4	360
2	6	336
3	8	327
4	10	316
5	12	307
6	15	315
7	19	340
8	20	313
9	22	313
10	24	311
11	27	316
12	30	318
13	32	312
14	33	305
15	35	299
16	38	300
17	41	300
18	43	300
19	46	299
20	48	299
21	50	295
22	52	289
23	54	284
24	56	282
25	58	279
26	60	274
27	62	271
28	64	267
29	65	260
30	66	257
31	68	253
32	70	250
33	72	246
34	73	242
35	76	240
36	78	238
37	79	235
38	81	231
39	83	228
40	85	226
41	86	222
42	88	219
43	89	216
44	91	213
45	93	210
46	95	208
47	96	205
48	98	202
49	99	199
50	101	196
51	102	194
52	105	192
53	106	190
54	108	187
55	110	185
56	111	182
57	113	180
58	115	178
59	117	176
60	119	174
61	121	171
62	122	169
63	124	167
64	126	165
65	128	163
66	130	161
67	132	159
68	134	158
69	136	156
70	138	153
71	140	151
72	143	150
73	145	149
74	146	146
75	148	144
76	150	142
77	152	140
78	154	138
79	156	136
80	157	134
81	159	132
82	161	130
83	163	128
84	165	126
85	166	124
86	168	122
87	170	120
88	172	118
89	174	116
90	175	114
91	177	111
92	179	109
93	180	107
94	182	105
95	184	103
96	186	101
97	188	99
98	190	97
99	191	95
100	193	93
101	195	91
102	196	89
103	198	87
104	200	85
105	202	83
106	204	82
107	205	80
108	207	78
109	209	76
110	211	74
111	213	72
112	214	70
113	216	68
114	218	66
115	220	64
116	222	62
117	224	60
118	225	58
119	227	56
120	229	54
121	231	53
122	232	51
123	234	49
124	236	47
125	238	45
126	239	43
127	241	41
128	243	39
129	244	37
130	246	35
131	248	33
132	250	32
133	252	30
134	253	28
135	255	26
136	257	24
137	259	22
138	260	20
139	262	18
140	264	16
141	265	14
142	267	13
143	269	11
144	271	9
145	272	7
146	274	5
147	276	3
148	278	1
149	280	0
